iata,name,latitude,longitude,country_code
CAN,Guangzhou Baiyun International Airport,23.392500,113.298889,CN
ATL,Hartsfieldâ€“Jackson Atlanta International Airport,33.640411,-84.419853,US
CTU,Chengdu Shuangliu International Airport,30.573664,103.941496,CN
DFW,Dallas/Fort Worth International Airport,32.897480,-97.040443,US
SZX,Shenzhen Bao'an International Airport,22.636828,113.814606,CN
CKG,Chongqing Jiangbei International Airport,29.719200,106.641998,CN
PEK,Beijing Capital International Airport,40.072498,116.597504,CN
DEN,Denver International Airport,39.849312,-104.673828,US
KMG,Kunming Changshui International Airport,24.988748,102.739452,CN
SHA,Shanghai Hongqiao International Airport,31.198055,121.336389,CN
